Accuracy Order,test_acc,dropout_ratio,weight_decay,learning_rate
64,0.1135,0.15000000000000002,0.20000000000000004,0.0037606030930863936
65,0.1135,0.15000000000000002,0.20000000000000004,0.01414213562373095
66,0.1135,0.2,0.001,0.001
67,0.1135,0.2,0.001,0.01414213562373095
68,0.1135,0.2,0.001,0.20000000000000004
69,0.1135,0.2,0.0037606030930863936,0.001
70,0.1135,0.2,0.0037606030930863936,0.01414213562373095
71,0.1135,0.2,0.0037606030930863936,0.05318295896944989
72,0.1135,0.2,0.0037606030930863936,0.20000000000000004
73,0.1135,0.2,0.01414213562373095,0.001
74,0.1135,0.2,0.01414213562373095,0.0037606030930863936
75,0.1135,0.2,0.01414213562373095,0.01414213562373095
76,0.1135,0.2,0.05318295896944989,0.0037606030930863936
77,0.1135,0.2,0.05318295896944989,0.05318295896944989
78,0.1135,0.2,0.05318295896944989,0.20000000000000004
79,0.1135,0.2,0.20000000000000004,0.001
80,0.1135,0.2,0.20000000000000004,0.05318295896944989
81,0.1032,0.0,0.01414213562373095,0.01414213562373095
82,0.1032,0.0,0.20000000000000004,0.0037606030930863936
83,0.1032,0.05,0.20000000000000004,0.001
84,0.1032,0.1,0.05318295896944989,0.01414213562373095
85,0.1032,0.15000000000000002,0.20000000000000004,0.05318295896944989
86,0.1032,0.2,0.20000000000000004,0.20000000000000004
87,0.1028,0.0,0.20000000000000004,0.01414213562373095
88,0.1028,0.0,0.20000000000000004,0.05318295896944989
89,0.1028,0.05,0.001,0.05318295896944989
90,0.1028,0.05,0.0037606030930863936,0.05318295896944989
91,0.1028,0.05,0.0037606030930863936,0.20000000000000004
92,0.1028,0.05,0.05318295896944989,0.001
93,0.1028,0.1,0.001,0.20000000000000004
94,0.1028,0.1,0.0037606030930863936,0.05318295896944989
95,0.1028,0.1,0.20000000000000004,0.20000000000000004
96,0.1028,0.15000000000000002,0.0037606030930863936,0.05318295896944989
97,0.1028,0.15000000000000002,0.20000000000000004,0.20000000000000004
98,0.1028,0.2,0.001,0.0037606030930863936
99,0.1028,0.2,0.01414213562373095,0.20000000000000004
100,0.1028,0.2,0.05318295896944989,0.001
101,0.101,0.0,0.05318295896944989,0.01414213562373095
102,0.101,0.0,0.20000000000000004,0.20000000000000004
103,0.101,0.05,0.0037606030930863936,0.001
104,0.101,0.05,0.01414213562373095,0.001
105,0.101,0.1,0.0037606030930863936,0.0037606030930863936
106,0.101,0.15000000000000002,0.05318295896944989,0.01414213562373095
107,0.101,0.2,0.01414213562373095,0.05318295896944989
108,0.101,0.2,0.05318295896944989,0.01414213562373095
109,0.101,0.2,0.20000000000000004,0.01414213562373095
110,0.1009,0.05,0.20000000000000004,0.20000000000000004
111,0.0982,0.0,0.0037606030930863936,0.01414213562373095
112,0.0982,0.1,0.01414213562373095,0.05318295896944989
113,0.0982,0.2,0.001,0.05318295896944989
114,0.098,0.05,0.05318295896944989,0.0037606030930863936
115,0.098,0.1,0.001,0.05318295896944989
116,0.098,0.1,0.05318295896944989,0.0037606030930863936
117,0.098,0.1,0.05318295896944989,0.20000000000000004
118,0.098,0.15000000000000002,0.01414213562373095,0.05318295896944989
119,0.0974,0.05,0.001,0.01414213562373095
120,0.0974,0.05,0.01414213562373095,0.01414213562373095
121,0.0958,0.1,0.0037606030930863936,0.001
122,0.0958,0.15000000000000002,0.001,0.01414213562373095
123,0.0958,0.2,0.0037606030930863936,0.0037606030930863936
124,0.0958,0.2,0.20000000000000004,0.0037606030930863936
